PartitionKey,RowKey,Timestamp,beginingPinCount,endingPinCount,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,up
Lane 4,20181212829872,12/13/2018 3:46:16 AM,1023,473,498,418,536,295,559,155,579,42,"","",6
Lane 4,20181212830793,12/13/2018 12:41:46 AM,1023,660,335,382,358,291,379,193,398,110,415,40,4
Lane 4,20181212831295,12/13/2018 12:26:38 AM,1023,1007,875,406,868,307,858,191,849,94,842,21,9
Lane 4,20181212831412,12/13/2018 12:25:14 AM,1023,0,594,407,605,312,612,197,618,109,624,24,0
Lane 4,20181212833873,12/13/2018 12:43:16 AM,1023,691,417,300,432,157,455,30,"","","","",6
Lane 4,20181212834615,12/13/2018 12:50:32 AM,1023,929,178,287,245,102,"","","","","","",5
Lane 4,20181212837661,12/13/2018 12:29:17 AM,1023,1022,1141,409,1094,282,1065,167,1032,63,"","",9
Lane 4,20181212838200,12/13/2018 12:48:48 AM,1023,893,716,279,720,112,726,2,"","","","",8
Lane 4,20181212838218,12/13/2018 12:48:23 AM,1023,893,742,272,738,92,"","","","","","",8
Lane 4,20181212838679,12/13/2018 12:33:43 AM,1023,320,571,378,602,173,"","","","","","",2
Lane 4,20181212840917,12/13/2018 12:49:06 AM,1023,893,781,411,764,226,751,67,"","","","",8
Lane 4,20181212841479,12/13/2018 12:32:59 AM,1023,216,492,406,518,312,537,195,553,97,568,23,4
Lane 4,20181212841834,12/13/2018 12:45:41 AM,1023,772,838,403,822,170,"","","","","","",3
Lane 4,20181212842508,12/13/2018 12:37:28 AM,1023,524,801,403,784,242,766,95,"","","","",3
Lane 4,20181212843878,12/13/2018 1:34:30 AM,1023,0,478,316,509,166,534,46,58,14,"","",0
Lane 4,20181212846602,12/13/2018 12:28:05 AM,1023,1015,32,400,60,324,99,231,135,151,167,85,9
Lane 4,20181212851002,12/13/2018 12:29:01 AM,1023,1022,1014,361,1051,256,1003,153,992,72,"","",9
Lane 4,20181212851396,12/13/2018 12:49:39 AM,1023,8,627,292,645,110,"","","","","","",1
Lane 4,20181212851463,12/13/2018 1:44:57 AM,1023,992,944,383,930,305,914,214,900,136,889,68,5
Lane 4,20181212854008,12/13/2018 12:31:56 AM,1023,19,418,336,462,143,507,6,"","","","",3
Lane 4,20181212855597,12/13/2018 12:25:03 AM,1023,0,455,417,492,299,516,179,528,70,"","",0
Lane 4,20181212858350,12/13/2018 12:47:17 AM,1023,836,751,286,749,137,745,28,"","","","",4
Lane 4,20181212863520,12/13/2018 1:45:15 AM,1023,992,99,385,139,305,175,224,207,149,231,87,5
Lane 4,20181212863975,12/13/2018 12:26:49 AM,1023,1007,875,399,866,270,854,146,844,46,"","",9
Lane 4,20181212866846,12/13/2018 12:46:37 AM,1023,806,828,320,816,175,814,73,"","","","",5
Lane 4,20181212870238,12/13/2018 12:33:51 AM,1023,320,562,268,584,102,"","","","","","",2
Lane 4,20181212876998,12/13/2018 12:53:50 AM,1023,959,225,292,280,145,"","","","","","",9
Lane 4,20181212877774,12/13/2018 12:24:42 AM,1023,0,674,412,666,234,656,82,"","","","",0
Lane 4,20181212879980,12/13/2018 3:46:33 AM,1023,713,392,347,420,218,444,111,466,29,"","",5
Lane 4,20181212882093,12/13/2018 1:44:07 AM,1023,272,547,407,562,298,576,186,590,95,"","",2
Lane 4,20181212882513,12/13/2018 12:26:46 AM,1023,1007,875,400,866,273,854,148,846,50,"","",9
Lane 4,20181212883202,12/13/2018 12:25:06 AM,1023,0,602,379,608,305,613,220,619,146,624,81,0
Lane 4,20181212885464,12/13/2018 12:27:43 AM,1023,1015,21,393,33,348,50,282,76,222,102,170,9
Lane 4,20181212885535,12/13/2018 12:43:20 AM,1023,691,415,240,448,70,"","","","","","",6
Lane 4,20181212888255,12/13/2018 12:50:36 AM,1023,930,1009,377,985,247,964,134,946,44,"","",5
Lane 4,20181212889771,12/13/2018 12:49:43 AM,1023,8,525,404,555,250,585,118,619,14,"","",1
Lane 4,20181212893585,12/13/2018 12:51:11 AM,1023,947,123,406,190,267,244,137,290,30,"","",7
Lane 4,20181212894719,12/13/2018 12:36:32 AM,1023,467,552,372,563,271,573,181,577,110,"","",6
Lane 4,20181212898449,12/13/2018 12:43:38 AM,1023,72,644,378,644,276,641,190,643,118,"","",2
Lane 4,20181212900156,12/13/2018 12:52:11 AM,1023,947,178,370,210,288,240,205,268,132,291,68,7
Lane 4,20181212900429,12/13/2018 12:46:54 AM,1023,832,686,378,688,220,707,103,709,9,"","",3
Lane 4,20181212904383,12/13/2018 12:34:58 AM,1023,35,498,391,516,301,531,202,545,118,556,49,3
Lane 4,20181212906586,12/13/2018 1:38:08 AM,1023,1004,914,329,884,198,871,91,"","","","",7
Lane 4,20181212908301,12/13/2018 1:46:46 AM,1023,0,519,401,528,263,539,146,"","","","",0
Lane 4,20181212908930,12/13/2018 1:43:46 AM,1023,1015,116,255,182,90,"","","","","","",9
